# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Transmission[no-units]
1208.77234 0.979888
1208.86254 0.977291
1208.95274 0.976295
1209.04295 0.947461
1209.13317 0.905967
1209.22339 0.930593
1209.31362 0.968304
1209.40386 0.979131
1209.4941 0.979144
1209.58435 0.978925
1209.67461 0.982574
1209.76487 0.981127
1209.85515 0.957197
1209.94542 0.926384
1210.03571 0.946703
1210.126 0.975356
1210.2163 0.982313
1210.3066 0.981339
1210.39691 0.983224
1210.48723 0.98465
1210.57756 0.984025
1210.66789 0.982627
1210.75822 0.984071
1210.84857 0.985201
1210.93892 0.982497
1211.02928 0.97712
1211.11965 0.974962
1211.21002 0.962518
1211.3004 0.924886
1211.39078 0.908209
1211.48117 0.948676
1211.57157 0.973945
1211.66198 0.974237
1211.75239 0.975779
1211.84281 0.970526
1211.93324 0.962344
1212.02367 0.97277
1212.11411 0.980593
1212.20455 0.972512
1212.29501 0.953393
1212.38547 0.946791
1212.47593 0.965165
1212.56641 0.976805
1212.65689 0.978532
1212.74737 0.981069
1212.83787 0.983033
1212.92837 0.98086
1213.01887 0.975758
1213.10939 0.976652
1213.19991 0.981571
1213.29043 0.983478
1213.38097 0.984897
1213.47151 0.98591
1213.56206 0.98577
1213.65261 0.983197
1213.74317 0.976643
1213.83374 0.968797
1213.92431 0.96475
1214.01489 0.964354
1214.10548 0.959566
1214.19608 0.963855
1214.28668 0.968936
1214.37729 0.964317
1214.4679 0.968247
1214.55852 0.972249
1214.64915 0.97597
1214.73979 0.974889
1214.83043 0.95722
1214.92108 0.945029
1215.01173 0.965354
1215.1024 0.978032
1215.19307 0.976592
1215.28374 0.978721
1215.37442 0.970124
1215.46511 0.957258
1215.55581 0.970699
1215.64651 0.983383
1215.73722 0.985776
1215.82794 0.986026
1215.91866 0.986114
1216.00939 0.986022
1216.10013 0.985055
1216.19087 0.982022
1216.28162 0.977865
1216.37238 0.975716
1216.46314 0.977099
1216.55392 0.979457
1216.64469 0.97708
1216.73548 0.968523
1216.82627 0.955969
1216.91707 0.962866
1217.00787 0.975476
1217.09868 0.982729
1217.1895 0.985421
1217.28032 0.985909
1217.37116 0.98602
1217.46199 0.986069
1217.55284 0.986
1217.64369 0.985523
1217.73455 0.983917
1217.82542 0.976386
1217.91629 0.966165
1218.00717 0.968173
1218.09805 0.967442
1218.18895 0.968504
1218.27985 0.972991
1218.37075 0.975488
1218.46166 0.975278
1218.55258 0.974159
1218.64351 0.974166
1218.73444 0.975383
1218.82538 0.971866
1218.91633 0.964668
1219.00729 0.964091
1219.09825 0.963507
1219.18921 0.96601
1219.28019 0.967765
1219.37117 0.962533
1219.46216 0.969639
1219.55315 0.976319
1219.64415 0.978133
1219.73516 0.977979
1219.82617 0.9754
1219.9172 0.972742
1220.00822 0.977369
1220.09926 0.979513
1220.1903 0.976713
1220.28135 0.967509
1220.37241 0.965359
1220.46347 0.976406
1220.55454 0.982871
1220.64561 0.983182
1220.7367 0.983436
1220.82779 0.983681
1220.91888 0.984463
1221.00998 0.983805
1221.10109 0.982305
1221.19221 0.983092
1221.28334 0.979273
1221.37447 0.969618
1221.4656 0.965507
1221.55675 0.966716
1221.6479 0.964688
1221.73905 0.956139
1221.83022 0.956621
1221.92139 0.96921
1222.01257 0.980248
1222.10375 0.981161
1222.19494 0.97823
1222.28614 0.981289
1222.37735 0.980993
1222.46856 0.975221
1222.55978 0.965132
1222.651 0.953256
1222.74224 0.965019
1222.83348 0.97694
1222.92472 0.981343
1223.01598 0.977736
1223.10723 0.972094
1223.1985 0.978531
1223.28977 0.983587
1223.38105 0.980752
1223.47234 0.972727
1223.56363 0.966988
1223.65494 0.963718
1223.74624 0.961354
1223.83756 0.97279
1223.92888 0.982293
1224.02021 0.982343
1224.11154 0.979166
1224.20288 0.977118
1224.29423 0.974308
1224.38558 0.974778
1224.47695 0.97341
1224.56832 0.978717
1224.65969 0.983696
1224.75107 0.98333
1224.84246 0.981334
1224.93386 0.981161
1225.02526 0.980058
1225.11667 0.980422
1225.20809 0.979642
1225.29951 0.974921
1225.39094 0.970856
1225.48238 0.974365
1225.57382 0.980224
1225.66527 0.982174
1225.75673 0.983828
1225.84819 0.984491
1225.93966 0.981716
1226.03114 0.97694
1226.12263 0.977292
1226.21412 0.980987
1226.30562 0.983729
1226.39712 0.983966
1226.48863 0.982761
1226.58015 0.980141
1226.67168 0.976222
1226.76321 0.977842
1226.85475 0.97922
1226.94629 0.96808
1227.03785 0.953198
1227.12941 0.965423
1227.22097 0.977443
1227.31255 0.977618
1227.40413 0.97871
1227.49571 0.979847
1227.58731 0.979536
1227.67891 0.981719
1227.77052 0.98255
1227.86213 0.981226
1227.95375 0.980477
1228.04538 0.982387
1228.13702 0.983805
1228.22866 0.983876
1228.32031 0.98343
1228.41196 0.982881
1228.50362 0.983651
1228.59529 0.984117
1228.68697 0.983178
1228.77865 0.980961
1228.87034 0.978299
1228.96204 0.977838
1229.05374 0.981556
1229.14545 0.983877
1229.23717 0.984188
1229.32889 0.983055
1229.42062 0.976703
1229.51236 0.969477
1229.6041 0.975518
1229.69586 0.982331
1229.78761 0.98406
1229.87938 0.983945
1229.97115 0.981851
1230.06293 0.978545
1230.15471 0.979219
1230.24651 0.981735
1230.33831 0.982479
1230.43011 0.98336
1230.52192 0.984025
1230.61374 0.984057
1230.70557 0.98394
1230.7974 0.983427
1230.88924 0.982685
1230.98109 0.983271
1231.07295 0.983726
1231.16481 0.982792
1231.25667 0.981744
1231.34855 0.98268
1231.44043 0.983469
1231.53232 0.983696
1231.62421 0.983378
1231.71612 0.981712
1231.80802 0.980374
1231.89994 0.982227
1231.99186 0.983701
1232.08379 0.983968
1232.17573 0.983953
1232.26767 0.983939
1232.35962 0.983895
1232.45158 0.983622
1232.54354 0.981994
1232.63551 0.979735
1232.72749 0.978985
1232.81947 0.978388
1232.91147 0.980798
1233.00346 0.981588
1233.09547 0.980069
1233.18748 0.980141
1233.2795 0.978075
1233.37152 0.974693
1233.46356 0.978238
1233.5556 0.982212
1233.64764 0.983409
1233.73969 0.983629
1233.83175 0.983548
1233.92382 0.983445
1234.0159 0.983392
1234.10798 0.983397
1234.20006 0.983377
1234.29216 0.983342
1234.38426 0.983107
1234.47637 0.982789
1234.56848 0.982917
1234.6606 0.983163
1234.75273 0.983062
1234.84487 0.98275
1234.93701 0.982887
1235.02916 0.982689
1235.12131 0.982108
1235.21348 0.982251
1235.30565 0.982426
1235.39782 0.982432
1235.49001 0.982174
1235.5822 0.982659
1235.67439 0.982935
1235.7666 0.982642
1235.85881 0.98253
1235.95103 0.982944
1236.04325 0.983211
1236.13548 0.983221
1236.22772 0.983201
1236.31997 0.983189
1236.41222 0.983158
1236.50448 0.982876
1236.59675 0.981124
1236.68902 0.978863
1236.7813 0.980264
1236.87359 0.981653
1236.96588 0.981505
1237.05818 0.981943
1237.15049 0.982038
1237.2428 0.982172
1237.33512 0.982657
1237.42745 0.982871
1237.51979 0.982817
1237.61213 0.982752
1237.70448 0.982678
1237.79683 0.982516
1237.88919 0.982469
1237.98156 0.98232
1238.07394 0.982048
1238.16632 0.982267
1238.25871 0.982568
1238.35111 0.982627
1238.44351 0.982451
1238.53593 0.981805
1238.62834 0.981241
1238.72077 0.981863
1238.8132 0.982369
1238.90564 0.982518
1238.99808 0.98256
1239.09054 0.982488
1239.18299 0.9824
1239.27546 0.982436
1239.36793 0.982455
1239.46041 0.982384
1239.5529 0.9823
1239.64539 0.982332
1239.73789 0.982343
1239.8304 0.982262
1239.92292 0.982149
1240.01544 0.98214
1240.10797 0.982158
1240.2005 0.982108
1240.29304 0.981991
1240.38559 0.981675
1240.47815 0.981173
1240.57071 0.980583
1240.66328 0.979826
1240.75586 0.980864
1240.84844 0.981669
1240.94103 0.981191
1241.03363 0.980528
1241.12623 0.981141
1241.21884 0.981718
1241.31146 0.981786
1241.40408 0.981776
1241.49672 0.981706
1241.58935 0.981646
1241.682 0.981676
1241.77465 0.98158
1241.86731 0.981414
1241.95998 0.981479
1242.05265 0.981569
1242.14533 0.981566
1242.23802 0.981537
1242.33071 0.981479
1242.42341 0.981402
1242.51612 0.981286
1242.60884 0.981168
1242.70156 0.981221
1242.79429 0.981258
1242.88702 0.981242
1242.97976 0.981224
1243.07251 0.981195
1243.16527 0.981157
1243.25803 0.981117
1243.3508 0.981082
1243.44358 0.981059
1243.53636 0.981035
1243.62915 0.980999
1243.72195 0.980904
1243.81476 0.980644
1243.90757 0.980446
1244.00039 0.980675
1244.09321 0.9808
1244.18604 0.980441
1244.27888 0.979913
1244.37173 0.980136
1244.46458 0.980554
1244.55744 0.980676
1244.65031 0.980658
1244.74318 0.980609
1244.83607 0.980557
1244.92895 0.980521
1245.02185 0.980478
1245.11475 0.98036
1245.20766 0.979839
1245.30057 0.979256
1245.3935 0.979737
1245.48643 0.980161
1245.57936 0.980184
1245.6723 0.980143
1245.76526 0.980101
1245.85821 0.980062
1245.95118 0.980025
1246.04415 0.979981
1246.13713 0.979894
1246.23011 0.979795
1246.3231 0.979801
1246.4161 0.979795
1246.50911 0.979594
1246.60212 0.978464
1246.69514 0.977199
1246.78817 0.978381
1246.8812 0.979399
1246.97424 0.979465
1247.06729 0.979442
1247.16034 0.979414
1247.2534 0.979356
