# Obtained using Skycalc tool from ESO webpage
# Water vapour content 2.5 mm
Wave[nm] Transmission[no-units]
2125.1494 0.993399
2125.18243 0.993545
2125.21546 0.993334
2125.24849 0.99369
2125.28152 0.99423
2125.31455 0.994476
2125.34758 0.994504
2125.38061 0.99449
2125.41364 0.994486
2125.44667 0.994447
2125.47971 0.994293
2125.51274 0.99354
2125.54577 0.990272
2125.57881 0.98594
2125.61184 0.987409
2125.64488 0.991723
2125.67791 0.993939
2125.71095 0.994499
2125.74399 0.994586
2125.77703 0.994601
2125.81006 0.994737
2125.8431 0.994829
2125.87614 0.994764
2125.90918 0.994487
2125.94222 0.994204
2125.97526 0.994293
2126.0083 0.994295
2126.04134 0.993674
2126.07439 0.991839
2126.10743 0.988379
2126.14047 0.986815
2126.17351 0.990585
2126.20656 0.993662
2126.2396 0.99441
2126.27265 0.994356
2126.30569 0.99413
2126.33874 0.99428
2126.37179 0.994541
2126.40483 0.994708
2126.43788 0.99481
2126.47093 0.994831
2126.50398 0.994788
2126.53703 0.994698
2126.57008 0.994463
2126.60313 0.993523
2126.63618 0.990225
2126.66923 0.986571
2126.70228 0.988729
2126.73533 0.992451
2126.76839 0.994045
2126.80144 0.994402
2126.83449 0.99429
2126.86755 0.993741
2126.9006 0.993134
2126.93366 0.993266
2126.96671 0.993663
2126.99977 0.993695
2127.03283 0.99352
2127.06589 0.99362
2127.09894 0.993911
2127.132 0.993853
2127.16506 0.992869
2127.19812 0.989881
2127.23118 0.987341
2127.26424 0.989827
2127.2973 0.99235
2127.33036 0.992739
2127.36343 0.992295
2127.39649 0.991871
2127.42955 0.991868
2127.46262 0.991587
2127.49568 0.99073
2127.52874 0.989172
2127.56181 0.986129
2127.59487 0.980498
2127.62794 0.973135
2127.66101 0.963746
2127.69408 0.939606
2127.72714 0.883487
2127.76021 0.824041
2127.79328 0.837264
2127.82635 0.904042
2127.85942 0.953032
2127.89249 0.973799
2127.92556 0.982378
2127.95863 0.98656
2127.9917 0.988934
2128.02478 0.990376
2128.05785 0.991273
2128.09092 0.991617
2128.124 0.991839
2128.15707 0.992608
2128.19015 0.993259
2128.22322 0.993465
2128.2563 0.993363
2128.28937 0.992769
2128.32245 0.990714
2128.35553 0.988967
2128.38861 0.99115
2128.42168 0.993436
2128.45476 0.994113
2128.48784 0.99406
2128.52092 0.993705
2128.554 0.993689
2128.58708 0.99413
2128.62017 0.994473
2128.65325 0.994528
2128.68633 0.994476
2128.71941 0.994527
2128.7525 0.994603
