# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Radiance[photons/s/m**2/micron/arsec**2]
1622.34436 928.199
1622.66886 928.724
1622.99342 1001.16
1623.31805 981.799
1623.64275 385925
1623.96751 947.581
1624.29234 954.552
1624.61723 1441.28
1624.94218 965.979
1625.26721 1260.54
1625.59229 975.424
1625.91744 978.514
1626.24266 985.567
1626.56794 991.427
1626.89329 2354.05
1627.2187 2354.45
1627.54417 1007.19
1627.86971 2574.67
1628.19532 1004.2
1628.52099 1000.31
1628.84673 993.259
1629.17253 986.235
1629.4984 978.611
1629.82433 971.447
1630.15033 12970.3
1630.47639 943.685
1630.80252 944.17
1631.12871 939.7
1631.45497 7417.75
1631.78129 86576.3
1632.10768 915.497
1632.43414 906.686
1632.76066 894.399
1633.08724 883.83
1633.41389 884.281
1633.74061 875.551
1634.06739 42172.6
1634.39423 860.436
1634.72115 854.412
1635.04812 185115
1635.37516 814.849
1635.70227 833.023
1636.02945 21562.5
1636.35668 815.9
1636.68399 804.408
1637.01136 802.966
1637.33879 794.29
1637.66629 752.871
1637.99386 769.621
1638.32149 768.136
1638.64919 759.511
1638.97695 109016
1639.30478 742.835
1639.63267 731.116
1639.96063 726.923
1640.28866 677.1
1640.61675 711.922
1640.9449 702.586
1641.27313 694.169
1641.60141 50285
1641.92977 677.808
1642.25818 669.569
1642.58667 663.728
1642.91522 612.267
1643.24384 645.218
1643.57252 639.117
1643.90126 631.74
1644.23008 207785
1644.55896 3747.42
1644.8879 31310.2
1645.21691 602.261
1645.54599 543.05
1645.87513 587.937
1646.20434 579.826
1646.53361 571.792
1646.86295 565.742
1647.19236 555.461
1647.52183 33629.3
1647.85137 118294
1648.18097 501.269
1648.51064 518.952
1648.84037 513.498
1649.17017 505.278
1649.50004 500.74
1649.82997 491.331
1650.15997 248474
1650.49004 477.126
1650.82017 437.659
1651.15037 457.166
1651.48063 452.454
1651.81096 447.872
1652.14135 436.453
1652.47181 430.936
1652.80234 424.743
1653.13294 415.574
1653.4636 405.942
1653.79432 376.779
1654.12511 392.87
1654.45597 385.176
1654.7869 376.647
1655.11789 367.629
1655.44894 88945.1
1655.78007 351.604
1656.11125 345.107
1656.44251 327.552
1656.77383 329.549
1657.10522 321.18
1657.43667 313.948
1657.76819 305.968
1658.09978 298.531
1658.43143 5377.14
1658.76315 5378.94
1659.09494 274.771
1659.42679 263.201
1659.75871 258.722
1660.0907 253.279
1660.42275 254.153
1660.75486 254.656
1661.08705 18891.7
1661.4193 254.399
1661.75162 255.85
1662.084 256.322
1662.41645 252.659
1662.74897 257.396
1663.08155 258.15
1663.4142 257.783
1663.74692 259.144
1664.0797 259.683
1664.41255 260.225
1664.74546 260.807
1665.07845 260.8
1665.41149 240.491
1665.74461 239.388
1666.07779 237.241
1666.41104 253.718
1666.74436 256.625
1667.07774 259.801
1667.41119 263.006
1667.7447 264.969
1668.07829 264.649
1668.41193 265.272
1668.74565 293.013
1669.07943 715241
1669.41328 267.408
1669.7472 268.299
1670.08118 269.209
1670.41523 21271.5
1670.74935 234155
1671.08353 270.638
1671.41778 268.125
1671.7521 271.481
1672.08648 272.316
1672.42093 8519.29
1672.75545 273.35
1673.09003 70912.5
1673.42469 10979.7
1673.7594 274.7
1674.09419 275.491
1674.42904 267.408
1674.76396 276.58
1675.09895 276.868
1675.434 5208.22
1675.76912 2291.14
1676.10431 278.495
1676.43956 23275
1676.77488 279.099
1677.11027 279.993
1677.44573 272.214
1677.78125 278.152
1678.11684 281.865
1678.4525 281.399
1678.78822 282.835
1679.12401 283.487
1679.45987 1161.87
1679.7958 284.344
1680.13179 5931.77
1680.46785 285.542
1680.80398 277.328
1681.14017 286.265
1681.47643 286.327
1681.81276 287.433
1682.14916 289.324
1682.48562 292.513
1682.82215 295.869
1683.15875 298.784
1683.49542 302.239
1683.83215 303.729
1684.16895 119103
1684.50582 312.027
1684.84275 1465.5
1685.17975 318.061
1685.51682 321.449
1685.85396 324.722
1686.19116 328.112
1686.52844 331.186
1686.86578 334.657
1687.20318 326.256
1687.54066 340.67
1687.8782 343.853
1688.21581 347.443
1688.55349 351.072
1688.89123 561.306
1689.22904 565.462
1689.56692 401.832
1689.90487 363.394
1690.24288 472698
1690.58097 792.167
1690.91912 710.687
1691.25733 376.185
1691.59562 376.589
1691.93397 382.174
1692.27239 384.056
1692.61088 389.299
1692.94944 393.318
1693.28806 396.14
1693.62675 399.571
1693.96551 393.977
1694.30434 404.779
1694.64323 407.755
1694.9822 410.943
1695.32123 415.963
1695.66032 179839
1695.99949 429.112
1696.33872 425.748
1696.67803 447.821
1697.01739 427.952
1697.35683 418.941
1697.69634 438.841
1698.03591 441.105
1698.37555 444.577
1698.71526 448.038
1699.05504 451.507
1699.39488 454.466
1699.7348 453.195
1700.07478 458.145
1700.41483 463.435
1700.75494 498487
1701.09513 460.074
1701.43538 474.52
1701.7757 476.168
1702.11609 479.949
1702.45655 482.236
1702.79707 480.912
1703.13767 489.849
1703.47833 487.808
1703.81906 498.632
1704.15986 496.352
1704.50072 494.339
1704.84166 494.488
1705.18266 487.105
1705.52373 543.684
1705.86487 489.82
1706.20608 481.475
1706.54735 483.315
1706.88869 477.1
1707.23011 526.846
1707.57159 519.036
1707.91314 140443
1708.25475 473.911
1708.59644 455.242
1708.93819 463.399
1709.28001 472.666
1709.6219 469.534
1709.96386 469.601
1710.30589 466.768
1710.64798 460.835
1710.99015 465.505
1711.33238 463.507
1711.67468 462.632
1712.01705 460.159
1712.35949 347484
1712.70199 456.859
1713.04457 455.385
1713.38721 452.961
1713.72992 450.772
1714.0727 446.778
1714.41555 431.644
1714.75847 442.277
1715.10146 446.709
1715.44451 442.37
1715.78763 443.706
1716.13083 427.209
1716.47409 439.87
1716.81741 438.451
1717.16081 445.597
1717.50428 521.146
1717.84781 458.537
1718.19142 456.027
1718.53509 430.38
1718.87883 934.172
1719.22264 427.309
1719.56652 731.593
1719.91047 422.477
1720.25449 421.923
1720.59857 418.025
1720.94273 79438.9
1721.28695 2771.48
1721.63124 407.457
1721.9756 413.036
1722.32003 1921.52
1722.66453 407.951
1723.0091 410.165
1723.35373 406.718
1723.69844 389.397
1724.04321 402.202
1724.38805 10340.2
1724.73297 85948.2
1725.07795 85153.7
1725.423 396.124
1725.76812 6324.14
1726.11331 385.58
1726.45856 391.936
1726.80389 390.676
1727.14928 385.25
1727.49475 385.282
1727.84028 385.492
1728.18588 36156.7
1728.53156 376.176
1728.8773 373.547
1729.22311 378.447
1729.56899 377.578
1729.91493 376.482
1730.26095 18257.4
1730.60704 370.533
1730.9532 368.595
1731.29942 369.784
1731.64571 367.082
1731.99208 350.571
1732.33851 346.417
1732.68501 362.807
1733.03159 89521.5
1733.37823 359.99
1733.72494 358.009
1734.07172 356.914
1734.41857 354.192
1734.76548 352.617
1735.11247 33500.9
1735.45953 348.042
1735.80666 35804.2
1736.15385 5216.07
1736.50112 344.034
1736.84845 333.954
1737.19586 342.273
1737.54333 340.548
1737.89087 337.761
1738.23849 33232.9
1738.58617 197932
1738.93392 333.545
1739.28174 332.304
1739.62963 328.879
1739.97759 323.541
1740.32563 326.426
1740.67373 325.612
1741.02189 323.419
1741.37013 317.008
1741.71844 318.134
1742.06682 318.212
1742.41527 317.348
1742.76379 67145.6
1743.11237 314.124
1743.46103 312.787
1743.80976 311.124
1744.15856 309.217
1744.50742 305.861
1744.85636 192643
1745.20537 304.316
1745.55444 302.597
1745.90359 300.775
1746.2528 298.549
1746.60209 305.459
1746.95144 298.026
1747.30087 293.922
1747.65036 290.911
1747.99993 289.949
1748.34956 288.076
1748.69927 286.121
1749.04904 283.606
1749.39889 282.254
1749.7488 280.279
1750.09879 10889.8
1750.44884 68974.7
1750.79897 274.892
1751.14916 273.03
1751.49943 288.594
1751.84976 269.477
1752.20017 267.196
1752.55064 265.339
1752.90119 19657.6
1753.2518 261.351
1753.60249 259.44
1753.95324 257.283
1754.30407 255.734
1754.65497 253.702
1755.00593 273.789
1755.35697 257.907
1755.70807 248.606
1756.05925 246.547
1756.4105 245.065
1756.76182 259.755
1757.1132 242.669
1757.46466 268.004
1757.81619 238.293
1758.16779 235.033
1758.51946 232.785
1758.87119 230.772
1759.223 228.916
1759.57488 227.035
1759.92683 225.682
1760.27885 223.057
1760.63095 221.979
1760.98311 244.073
1761.33534 218.867
1761.68764 215.802
1762.04001 214.206
1762.39246 230.886
1762.74497 212.598
1763.09756 230.813
1763.45021 208.621
1763.80294 204.329
1764.15573 202.262
1764.5086 201.686
1764.86153 51936
1765.21454 485261
1765.56762 234.644
1765.92077 998.128
1766.27399 1423.28
1766.62728 16066.3
1766.98064 190.929
1767.33407 168217
1767.68757 185.478
1768.04115 183.339
1768.39479 2448.53
1768.7485 2431.48
1769.10229 6615.4
1769.45614 181.846
1769.81007 60627.2
1770.16407 173.664
1770.51814 179.507
1770.87228 206.977
1771.22649 170.891
1771.58077 162.25
1771.93512 160.666
1772.28954 2534.6
1772.64403 165.917
1772.9986 161.007
